country,continent,population,day,time,Cases,Recovered,Deaths,Tests,Recovery_rate,Death_rate,Deaths per Million,Cases per 100K,Deaths_per_Million,Cases_per_100K,Tests_per_Person,Infection Rate,Tests per 100K
Saint-Helena,Africa,6115.0,2024-06-30,2024-06-30T16:15:16+00:00,2166,2.0,0.0,0.0,0.09233610341643582,0.0,0.0,35421.09566639412,0.0,35421.09566639412,0.0,35.421095666394116,0.0
Falkland-Islands,South-America,3539.0,2024-06-30,2024-06-30T16:15:16+00:00,1930,1930.0,0.0,8632.0,100.0,0.0,0.0,54535.17942921729,0.0,54535.17942921729,2.4391070923989826,54.535179429217294,243910.70923989825
Montserrat,North-America,4965.0,2024-06-30,2024-06-30T16:15:16+00:00,1403,1376.0,8.0,17762.0,98.07555238774056,0.5702066999287242,1611.2789526686809,28257.804632426993,1611.2789526686809,28257.804632426993,3.5774420946626386,28.257804632426993,357744.2094662639
Diamond-Princess,0,0.0,2024-06-30,2024-06-30T16:15:16+00:00,712,699.0,13.0,0.0,98.17415730337079,1.8258426966292134,inf,inf,inf,inf,,inf,
Vatican-City,Europe,799.0,2024-06-30,2024-06-30T16:15:16+00:00,29,29.0,0.0,0.0,100.0,0.0,0.0,3629.536921151439,0.0,3629.536921151439,0.0,3.629536921151439,0.0
Western-Sahara,Africa,626161.0,2024-06-30,2024-06-30T16:15:16+00:00,10,9.0,1.0,0.0,90.0,10.0,1.5970333508474657,1.5970333508474657,1.5970333508474657,1.5970333508474657,0.0,0.0015970333508474655,0.0
MS-Zaandam,0,0.0,2024-06-30,2024-06-30T16:15:16+00:00,9,7.0,2.0,0.0,77.77777777777779,22.22222222222222,inf,inf,inf,inf,,inf,
China,Asia,1448471400.0,2024-06-30,2024-06-30T16:15:16+00:00,503302,379053.0,5272.0,160000000.0,75.31323141970428,1.0474824260583109,3.6396990648210243,34.74711340520773,3.6396990648210243,34.74711340520773,0.11046127662582775,0.034747113405207725,11046.127662582774
Tokelau,Oceania,1378.0,2024-06-30,2024-06-30T16:15:16+00:00,80,0.0,0.0,0.0,0.0,0.0,0.0,5805.515239477504,0.0,5805.515239477504,0.0,5.805515239477503,0.0
Saint-Pierre-Miquelon,North-America,5759.0,2024-06-30,2024-06-30T16:15:16+00:00,3452,2449.0,2.0,25400.0,70.94438006952491,0.057937427578215524,347.28251432540367,59940.96197256468,347.28251432540367,59940.96197256468,4.410487931932627,59.94096197256468,441048.7931932627
Tuvalu,Oceania,12066.0,2024-06-30,2024-06-30T16:15:16+00:00,2943,0.0,1.0,0.0,0.0,0.03397893306150187,82.8775070445881,24390.850323222276,82.8775070445881,24390.850323222276,0.0,24.390850323222278,0.0
Niue,Oceania,1622.0,2024-06-30,2024-06-30T16:15:16+00:00,1059,1056.0,0.0,0.0,99.71671388101983,0.0,0.0,65289.76572133169,0.0,65289.76572133169,0.0,65.28976572133169,0.0
Nicaragua,North-America,6779100.0,2024-06-30,2024-06-30T16:15:15+00:00,18491,4225.0,225.0,0.0,22.848953544967824,1.2168081769509491,33.19024649289729,272.7648212889617,33.19024649289729,272.7648212889617,0.0,0.2727648212889617,0.0
Tajikistan,Asia,9957464.0,2024-06-30,2024-06-30T16:15:15+00:00,17786,17264.0,125.0,0.0,97.06510738783312,0.7027999550208028,12.553397130032307,178.61977708380365,12.553397130032307,178.61977708380365,0.0,0.17861977708380367,0.0
Djibouti,Africa,1016097.0,2024-06-30,2024-06-30T16:15:15+00:00,15690,15427.0,189.0,305941.0,98.32377310388782,1.2045889101338432,186.00586361341485,1544.1439153939043,186.00586361341485,1544.1439153939043,0.30109428528969184,1.5441439153939043,30109.428528969183
Greenland,North-America,56973.0,2024-06-30,2024-06-30T16:15:15+00:00,11971,2761.0,21.0,164926.0,23.06407150613984,0.1754239411912121,368.59565057132323,21011.7072999491,368.59565057132323,21011.7072999491,2.894809822196479,21.011707299949098,289480.9822196479
Eritrea,Africa,3662244.0,2024-06-30,2024-06-30T16:15:15+00:00,10189,10086.0,103.0,23693.0,98.98910589851802,1.0108941014819903,28.124832752814942,278.2173989499334,28.124832752814942,278.2173989499334,0.006469530703033441,0.2782173989499334,646.953070303344
Niger,Africa,26083660.0,2024-06-30,2024-06-30T16:15:15+00:00,9931,8890.0,312.0,254538.0,89.51767193636088,3.141677575269359,11.961511536341142,38.07364457288586,11.961511536341142,38.07364457288586,0.009758523152042313,0.03807364457288586,975.8523152042312
Equatorial-Guinea,Africa,1496662.0,2024-06-30,2024-06-30T16:15:15+00:00,17229,16907.0,183.0,365697.0,98.1310580997156,1.062162632770329,122.27209617134665,1151.161718544334,122.27209617134665,1151.161718544334,0.24434174182280302,1.151161718544334,24434.1741822803
Liberia,Africa,5305117.0,2024-06-30,2024-06-30T16:15:15+00:00,8090,7783.0,295.0,139824.0,96.20519159456119,3.646477132262052,55.606690672420605,152.49428052199414,55.606690672420605,152.49428052199414,0.02635644039518827,0.15249428052199412,2635.644039518827
Nauru,Oceania,10903.0,2024-06-30,2024-06-30T16:15:15+00:00,5393,5347.0,1.0,20509.0,99.14704246245132,0.018542555164101613,91.71787581399614,49463.45042648812,91.71787581399614,49463.45042648812,1.881041915069247,49.46345042648812,188104.1915069247
Caribbean-Netherlands,North-America,26647.0,2024-06-30,2024-06-30T16:15:15+00:00,11682,10476.0,38.0,30126.0,89.6764252696456,0.32528676596473205,1426.0517131384395,43839.83187600855,1426.0517131384395,43839.83187600855,1.1305587871054903,43.83983187600855,113055.87871054903
Bermuda,North-America,61939.0,2024-06-30,2024-06-30T16:15:15+00:00,18860,18685.0,165.0,1029558.0,99.07211028632025,0.8748674443266171,2663.911267537416,30449.31303379131,2663.911267537416,30449.31303379131,16.62212822292901,30.44931303379131,1662212.822292901
Gambia,Africa,2558482.0,2024-06-30,2024-06-30T16:15:15+00:00,12626,12189.0,372.0,155686.0,96.53888800887059,2.946301283066688,145.39871689540905,493.4957525595255,145.39871689540905,493.4957525595255,0.06085092644779209,0.4934957525595255,6085.092644779209
Grenada,North-America,113475.0,2024-06-30,2024-06-30T16:15:15+00:00,19693,19358.0,238.0,182981.0,98.29888792972122,1.2085512618696999,2097.378277153558,17354.48336638026,2097.378277153558,17354.48336638026,1.6125225820665345,17.35448336638026,161252.25820665347
Comoros,Africa,907419.0,2024-06-30,2024-06-30T16:15:15+00:00,9109,8939.0,161.0,0.0,98.13371390932045,1.7674827094082777,177.42630471700505,1003.8361550727943,177.42630471700505,1003.8361550727943,0.0,1.0038361550727943,0.0
Guinea-Bissau,Africa,2063367.0,2024-06-30,2024-06-30T16:15:15+00:00,9614,8929.0,177.0,145231.0,92.87497399625546,1.841065113376326,85.78212213338684,465.9374701640571,85.78212213338684,465.9374701640571,0.07038544282233844,0.4659374701640571,7038.544282233844
Chad,Africa,17413580.0,2024-06-30,2024-06-30T16:15:15+00:00,7701,4874.0,194.0,191341.0,63.290481755616156,2.519153356706921,11.140730395472957,44.224105554400644,11.140730395472957,44.224105554400644,0.010988033477320573,0.04422410555440065,1098.8033477320573
Vanuatu,Oceania,321832.0,2024-06-30,2024-06-30T16:15:15+00:00,12019,11976.0,14.0,24976.0,99.64223313087611,0.11648223645894001,43.50095702105447,3734.5571602575255,43.50095702105447,3734.5571602575255,0.07760570732556116,3.7345571602575256,7760.570732556116
Sint-Maarten,North-America,43966.0,2024-06-30,2024-06-30T16:15:15+00:00,11051,10905.0,92.0,62056.0,98.67885259252557,0.8325038458058095,2092.5260428512943,25135.33184733658,2092.5260428512943,25135.33184733658,1.4114543055997817,25.135331847336577,141145.43055997818
Wallis-and-Futuna,Oceania,10982.0,2024-06-30,2024-06-30T16:15:15+00:00,3550,438.0,8.0,20508.0,12.338028169014084,0.22535211267605634,728.4647605172099,32325.623747951195,728.4647605172099,32325.623747951195,1.8674194135858677,32.32562374795119,186741.94135858677
